INPUT:previous	INPUT:sentence	INPUT:following	INPUT:quiz_file	INPUT:answer_num	INPUT:question_num	INPUT:sentence_num	TASK:id	TASK:overlap	OUTPUT:result	TASK:assignments_count
 His goal helped Germany secure a 1-0 victory over Argentina and win the World Cup	 Goetze's performance and his match-winning goal earned him the Man of the Match award in the final	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were all notable players in the final, but it was Mario Goetze who received the award	artifacts\v6\filtered_pop_quiz_4.json	7	1	3	000279d650--6514898fba0d275c332519aa	2	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#Post-match
 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was named the Man of the Match	 Goetze's goal in the 113th minute secured a 1-0 victory for Germany, earning them their fourth World Cup title	 Sergio Aguero, Lionel Messi, and Bastian Schweinsteiger were all key players in the final, but it was Goetze's decisive contribution that earned him the prestigious individual award	artifacts\v6\filtered_pop_quiz_4.json	4	1	2	000279d650--65148992ba0d275c33251b8e	4	True	https://en.wikipedia.org/wiki/2014_FIFA_World_Cup_final#
 In 1513, he crossed the Isthmus of Panama and reached the Pacific Ocean, becoming the first European to see and explore its waters	 This event was significant as it opened up new possibilities for trade and exploration between Europe and Asia	 Circumnavigation of the globe was achieved by Ferdinand Magellan in 1522	artifacts\v6\filtered_pop_quiz_1.json	0	0	2	000279d650--65148990ba0d275c33251a3c	3	False	0
 This event was significant as it opened up new possibilities for trade and exploration between Europe and Asia	 Circumnavigation of the globe was achieved by Ferdinand Magellan in 1522	 The Cape of Good Hope was first sailed around by Portuguese explorer Bartolomeu Dias in 1488, and the Horn of Africa was encountered by Portuguese explorer Vasco da Gama in 1497	artifacts\v6\filtered_pop_quiz_1.json	0	0	3	000279d650--65148990ba0d275c33251a3e	3	True	https://en.wikipedia.org/wiki/Ferdinand_Magellan
 The Cape of Good Hope was first sailed around by Portuguese explorer Bartolomeu Dias in 1488, and the Horn of Africa was encountered by Portuguese explorer Vasco da Gama in 1497	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean		artifacts\v6\filtered_pop_quiz_1.json	0	0	5	000279d650--65148990ba0d275c33251a42	3	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 Circumnavigation of the globe was achieved by Ferdinand Magellan in 1522	 The Cape of Good Hope was first sailed around by Portuguese explorer Bartolomeu Dias in 1488, and the Horn of Africa was encountered by Portuguese explorer Vasco da Gama in 1497	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean	artifacts\v6\filtered_pop_quiz_1.json	0	0	4	000279d650--65148990ba0d275c33251a40	3	False	https://en.wikipedia.org/wiki/Bartolomeu_Dias
	Balboa, a Spanish explorer, was the first European to encounter the Pacific Ocean	 In 1513, he crossed the Isthmus of Panama and reached the Pacific Ocean, becoming the first European to lay eyes on it	artifacts\v6\filtered_pop_quiz_1.json	1	0	0	000279d650--65148990ba0d275c33251a44	3	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
 This discovery opened up a new route for trade and exploration between Europe and the Pacific	 Circumnavigating the globe was accomplished by Ferdinand Magellan in 1522	 Sailing around the Cape of Good Hope was achieved by Bartholomeu Dias in 1488	artifacts\v6\filtered_pop_quiz_1.json	1	0	3	000279d650--65148990ba0d275c33251a5e	3	True	https://en.wikipedia.org/wiki/Ferdinand_Magellan
 Circumnavigating the globe was accomplished by Ferdinand Magellan in 1522	 Sailing around the Cape of Good Hope was achieved by Bartholomeu Dias in 1488	 The Horn of Africa was encountered by Vasco da Gama in 1497	artifacts\v6\filtered_pop_quiz_1.json	1	0	4	000279d650--65148990ba0d275c33251a60	10	True	https://en.wikipedia.org/wiki/Bartolomeu_Dias
 The Horn of Africa was encountered by Vasco da Gama in 1497	 Therefore, the correct answer is that Balboa was the first European to encounter the Pacific Ocean		artifacts\v6\filtered_pop_quiz_1.json	1	0	6	000279d650--6514898fba0d275c33251992	49	True	https://en.wikipedia.org/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa
