INPUT:previous	INPUT:sentence	INPUT:following	INPUT:quiz_file	INPUT:answer_num	INPUT:question_num	INPUT:sentence_num	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
The correct answer is a) Mario Goetze	 In the 2014 World Cup final between Germany and Argentina, Mario Goetze scored the winning goal in extra time and was named the Man of the Match	 Goetze's goal in the 113th minute secured a 1-0 victory for Germany, earning them their fourth World Cup title	artifacts\v6\filtered_pop_quiz_4.json	4	1	1	True				https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--65148992ba0d275c33251b8c	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
	"
Porto beat Barcelona in the 2004 Champions League final"	 This was a surprising victory for Porto as Barcelona were considered the favorites to win the match	artifacts\v6\filtered_pop_quiz_4.json	2	5	0	True				https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--65148992ba0d275c33251c14	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
 The correct answer is c) 22	 This means that a total of 22 red cards were shown during the match	 This is a very high number of red cards for a single match, especially considering that it was a 5th tier match	artifacts\v6\filtered_pop_quiz_4.json	6	6	2	False				https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--6514898fba0d275c332519a6	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
	The correct answer is (c) Forest of sea turtles	" The name ""Tortuguero"" in Costa Rica's Tortuguero National Park means ""Forest of sea turtles"" in Spanish"	artifacts\v6\filtered_pop_quiz_5.json	0	0	0	False				https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--65148993ba0d275c33251c83	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
"
The correct answer is b) 3-0"	 The score in the Euro 2012 final was 3-0		artifacts\v6\filtered_pop_quiz_4.json	5	0	1	False				https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--65148992ba0d275c33251b68	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
 This name is fitting because Tortuguero National Park is an important nesting site for several species of sea turtles, including the endangered green sea turtle and the critically endangered hawksbill turtle	 The park's beaches are where these sea turtles come ashore to lay their eggs, making it a vital habitat for their survival	 Visitors to Tortuguero National Park can witness the incredible spectacle of sea turtles nesting or hatching, contributing to the park's reputation as a prime ecotourism destination in Costa Rica	artifacts\v6\filtered_pop_quiz_5.json	3	0	3	Nonsense	True			https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--6514898fba0d275c33251915	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
	Debtedness is the correct answer because the Great Depression in the United Kingdom led to a significant increase in public and private debt	 The economic downturn caused a decline in trade and investment, resulting in reduced income and increased unemployment	artifacts\v6\filtered_pop_quiz_3.json	3	0	0	True				https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--65148991ba0d275c33251af4	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
In 2011, a 5th tier match in Argentina saw a record number of red cards, with a total of 22 being given out	 This is an exceptionally high number of red cards for a single match, indicating a high level of aggression and misconduct on the field	 The match was likely characterized by intense physical play and players losing their temper, resulting in numerous fouls and dismissals	artifacts\v6\filtered_pop_quiz_4.json	2	6	1	Cannot say	True			https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--65148993ba0d275c33251c4b	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
 In 1513, he crossed the Isthmus of Panama and reached the western coast of what is now Panama	 From there, he became the first European to lay eyes on the Pacific Ocean	 This significant achievement opened up new trade routes and expanded European knowledge of the world	artifacts\v6\filtered_pop_quiz_1.json	3	0	2	False				https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--65148990ba0d275c33251a70	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
The correct answer is b) San Marino	 Wayne Rooney broke the England goalscoring record against San Marino	 On October 9, 2015, in a Euro 2016 qualifying match, Rooney scored his 49th and 50th goals for the England national team	artifacts\v6\filtered_pop_quiz_4.json	2	2	1	True				https://platform.toloka.ai/task/41539152/000279d650--65150ee3a75e1b2029d9fcb9	000279d650--6514898fba0d275c33251994	000279d650--65150ee3a75e1b2029d9fcb9	b1fb909569ca49b278f3f61a624f0517	APPROVED	2023-09-28T05:28:03.056
